Apache CouchDB 1.1.1 (LogLevel=info) is starting.
Apache CouchDB has started. Time to relax.
[info] [<0.17027.3>] 127.0.0.1 - - 'GET' /corform/poetry%2Fenglish%2Fharpur 200
[info] [<0.17027.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FOUTWARD%20BOUND 200
[info] [<0.17027.3>] 127.0.0.1 - - 'GET' /corform/list%2Fdefault 200
[info] [<0.17141.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FOUTWARD%20BOUND 200
[info] [<0.17141.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FOUTWARD%20BOUND%2Fadd0 404
[info] [<0.17142.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FOUTWARD%20BOUND 200
[info] [<0.17142.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FOUTWARD%20BOUND%2Fadd0 404
[info] [<0.17143.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FOUTWARD%20BOUND 200
[info] [<0.17143.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FOUTWARD%20BOUND 200
[info] [<0.17143.3>] 127.0.0.1 - - 'GET' /corcode/english%2Fharpur%2FOUTWARD%20BOUND%2Fdefault 200
[info] [<0.17143.3>] 127.0.0.1 - - 'GET' /corform/poetry%2Fenglish%2Fharpur 200
[info] [<0.17143.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FOUTWARD%20BOUND 200
[info] [<0.17143.3>] 127.0.0.1 - - 'GET' /corform/list%2Fdefault 200
[info] [<0.20753.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FOUTWARD%20BOUND 200
[info] [<0.20753.3>] 127.0.0.1 - - 'GET' /cortex/_all_docs/ 200
[info] [<0.20753.3>] 127.0.0.1 - - 'GET' /corpix/list/list-item-last.png 200
[info] [<0.20753.3>] 127.0.0.1 - - 'GET' /corpix/list/list-item-root.png 200
[info] [<0.20754.3>] 127.0.0.1 - - 'GET' /corpix/list/list-item.png 200
[info] [<0.20757.3>] 127.0.0.1 - - 'GET' /corpix/list/list-item-contents.png 200
[info] [<0.20758.3>] 127.0.0.1 - - 'GET' /corpix/list/button.png 200
[info] [<0.20755.3>] 127.0.0.1 - - 'GET' /corpix/list/button-closed.png 200
[info] [<0.20759.3>] 127.0.0.1 - - 'GET' /corpix/list/button-open.png 200
[info] [<0.20755.3>] 127.0.0.1 - - 'GET' /corpix/list/list-item-last-open.png 200
[info] [<0.20755.3>] 127.0.0.1 - - 'GET' /corpix/list/list-item-open.png 200
[info] [<0.20913.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FDORA 200
[info] [<0.20913.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FDORA 200
[info] [<0.20913.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FDORA%2Fbase 404
[info] [<0.20914.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FDORA 200
[info] [<0.20914.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FDORA%2Fbase 404
[info] [<0.20915.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FDORA 200
[info] [<0.20915.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FDORA 200
[info] [<0.20915.3>] 127.0.0.1 - - 'GET' /corcode/english%2Fharpur%2FDORA%2Fdefault 200
[info] [<0.20915.3>] 127.0.0.1 - - 'GET' /corform/poetry%2Fenglish%2Fharpur 200
[info] [<0.20915.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FDORA 200
[info] [<0.20915.3>] 127.0.0.1 - - 'GET' /corform/list%2Fdefault 200
[info] [<0.21259.3>] 127.0.0.1 - - 'GET' /cortex/english%2Fharpur%2FDORA 200
[info] [<0.21259.3>] 127.0.0.1 - - 'GET' /cortex/_all_docs/ 200
